organization_name,city,state,FY12,FY13,institution_type,direct_cost,indirect_cost,funding,calculated_indirect_cost
ALBERT EINSTEIN COL OF MED(See YESHIVA UNIV),BRONX,NEW YORK,66,67,Higher Ed,676025,341449,2796729,50.5
NEW YORK MEDICAL COLLEGE,VALHALLA,NEW YORK,61,61,Higher Ed,4784148,2413186,7197334,50.4
WESLEYAN UNIVERSITY,MIDDLETOWN,CONNECTICUT,64.1,64.1,Higher Ed,911613,458667,1370280,50.3
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NEW YORK,78,76.5,NP res inst,5007759,2512676,7520435,50.2
UNIVERSITY OF MIAMI ROSENTEIL SCHOOL,MIAMI,FLORIDA,50,50,Higher Ed,333191,166596,499787,50
FORSYTH INSTITUTE,Cambridge,MASSACHUSETTS,99,92,NP res inst,6790416,3369558,8752534,49.6
FRED HUTCHINSON CANCER RESEARCH CENTER,SEATTLE,WASHINGTON,76,76,NP res inst,123276993,61042648,199131915,49.5
HELEN HAYES HOSPITAL,Menands,NEW YORK,50.7,54,Hosp,583548,288713,872261,49.5
BANNER ALZHEIMER'S INSTITUTE,PHOENIX,ARIZONA,58,58,NP res inst,22280073,10980162,33260235,49.3
WISTAR INSTITUTE,PHILADELPHIA,PENNSYLVANIA,85,85,NP res inst,17057220,8387511,25344586,49.2
UNIV OF MASSACHUSETTS MED SCH WORCESTER,WORCESTER,MASSACHUSETTS,64.5,66,Higher Ed,88307897,43280208,130350480,49
BENAROYA RESEARCH INST AT VIRGINIA MASON,SEATTLE,WASHINGTON,70.7,74.7,NP res inst,11645413,5687166,18744020,48.8
NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NEW YORK,NEW YORK,69,69,Higher Ed,117096309,56877208,174108397,48.6
NORTHEAST OHIO MEDICAL UNIVERSITY,ROOTSTOWN,OHIO,54,51.6,Higher Ed,3988412,1936388,5924800,48.6
CHILDREN'S HOSPITAL BOSTON,BOSTON,MASSACHUSETTS,74,75,Hosp,84837355,41170442,126812298,48.5
MEMORIAL HOSPITAL OF SOUTH BEND,SOUTH BEND,INDIANA,48.9,48.9,Hosp,541814,260057,710588,48
CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,CALIFORNIA,67,67,Hosp,18930198,9026051,27956249,47.7
NEW JERSEY INSTITUTE OF TECHNOLOGY,NEWARK,NEW JERSEY,53,52,Higher Ed,768783,366309,1135092,47.6
ROCKEFELLER UNIVERSITY,NEW YORK,NEW YORK,69.5,69.5,Higher Ed,41610138,19757453,61367051,47.5
UNIVERSITY OF TEXAS SW MED CTR/DALLAS,DALLAS,TEXAS,59,59,Higher Ed,6491762,3070644,9562406,47.3
ROSWELL PARK CANCER INSTITUTE CORP,BUFFALO,NEW YORK,99.9,99.9,Hosp,23413008,11013480,34281239,47
PROVIDENCE PORTLAND MEDICAL CENTER,PORTLAND,OREGON,54,54,Hosp,1152345,541247,1538875,47
HAMILTON COLLEGE,CLINTON,NEW YORK,64,62,Higher Ed,98882,46332,145214,46.9
MASSACHUSETTS GENERAL HOSPITAL,BOSTON,MASSACHUSETTS,75,74,Hosp,222615284,104232455,339490480,46.8
S. U. N. Y. COLLEGE AT BUFFALO ,BUFFALO,NEW YORK,47,47,Higher Ed,31067215,14511723,48133703,46.7
NEW YORK EYE AND EAR INFIRMARY,NEW YORK,NEW YORK,51.1,51.1,Hosp,268126,125294,393420,46.7
CLEVELAND CLINIC LERNER COL/MED-CWRU,CLEVELAND,OHIO,57,57,Higher Ed,56286990,26208949,82188005,46.6
BROOKLYN COLLEGE,NEW YORK,NEW YORK,57,57,Higher Ed,3011353,1401259,4412612,46.5
UNIVERSITY OF NORTH CAROLINA WILMINGTON,WILMINGTON,NORTH CAROLINA,45.5,45.5,Higher Ed,160402,74587,234989,46.5
HARVARD UNIVERSITY,CAMBRIDGE,MASSACHUSETTS,69,69,Higher Ed,35914540,16620633,51828312,46.3
STATE UNIVERSITY NEW YORK STONY BROOK,STONY BROOK,NEW YORK,57,57,Higher Ed,34948961,16130371,51060131,46.2
MEDSTAR RESEARCH INSTITUTE,HYATTSVILLE,MARYLAND,57,57,NP res inst,1327610,613777,1859387,46.2
SCIENTIFIC ANALYSIS CORPORATION,SAN FRANCISCO,CALIFORNIA,48.2,48.2,NP res inst,1224607,566283,1790890,46.2
UNIVERSITY OF SOUTHERN MAINE,PORTLAND,MAINE,,not available,Higher Ed,423858,195891,619749,46.2
YALE UNIVERSITY,NEW HAVEN,CONNECTICUT,65.5,66,Higher Ed,240229220,110217739,348058771,45.9
MIDWESTERN UNIVERSITY,DOWNERS GROVE,ILLINOIS,49,49,Higher Ed,315177,144219,459396,45.8
SHEPPARD AND ENOCH PRATT HOSPITAL,BALTIMORE,MARYLAND,30,30,Hosp,156993,71828,228821,45.8
UNIVERSITY OF TOLEDO,TOLEDO,OHIO,46,47.5,Higher Ed,1430234,653319,2083553,45.7
MOUNT SINAI MEDICAL CENTER (MIAMI BEACH),MIAMI BEACH,FLORIDA,52.1,52.1,Hosp,396177,180908,467134,45.7
DANA-FARBER CANCER INSTITUTE,BOSTON,MASSACHUSETTS,75,75,Hosp,80356858,36564205,115844948,45.5
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,HOUSTON,TEXAS,58,60,Hosp,91180594,41363413,130803085,45.4
THOMAS JEFFERSON UNIVERSITY,PHILADELPHIA,PENNSYLVANIA,55,55,Higher Ed,32979659,14891130,47642404,45.2
WEILL MEDICAL COLLEGE OF CORNELL UNIV,NEW YORK,NEW YORK,69,69,Higher Ed,77147260,34555961,112121941,44.8
UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES,CALIFORNIA,63,64,Higher Ed,128452830,57399804,184275868,44.7
UNIVERSITY OF TENNESSEE HEALTH SCI CTR,MEMPHIS,TENNESSEE,49.5,50,Higher Ed,23415183,10434659,33776773,44.6
ST. LUKE'S-ROOSEVELT HOSPITAL,NEW YORK,NEW YORK,,not available,NP res inst,4799971,2136790,6961261,44.5
ST. JOSEPH'S HOSPITAL,ATLANTA,GEORGIA,56,56,Hosp,1853794,824286,2678080,44.5
CLARK UNIVERSITY ,WORCESTER,MASSACHUSETTS,52,52,Higher Ed,337481,150037,487518,44.5
COLUMBIA UNIVIVERSITY IN THE CITY OF NEW YORK,NEW YORK,NEW YORK,60,60,Higher Ed,28227244,12544788,40748387,44.4
NATIONAL OPINION RESEARCH CENTER,CHICAGO,ILLINOIS,50.3,51,NP res inst,4522378,2007770,34574446,44.4
CITY OF HOPE/BECKMAN RESEARCH INSTITUTE,DUARTE,CALIFORNIA,68,68,NP res inst,26156990,11592366,36942940,44.3
ROSALIND FRANKLIN UNIV OF MEDICINE & SCI,NORTH CHICAGO,ILLINOIS,54.5,54.5,Higher Ed,5593797,2467978,8061775,44.1
POPULATION COUNCIL,NEW YORK,NEW YORK,,not available,NP res inst,3356895,1476233,4833128,44
PACIFIC INSTITUTE FOR RES AND EVALUATION,Beltsville,MARYLAND,51.5,51.5,NP res inst,7264813,3184535,10449348,43.8
WESTERN UNIVERSITY OF HEALTH SCIENCES,POMONA,CALIFORNIA,49,46,Higher Ed,660600,288686,949286,43.7
BETH ISRAEL DEACONESS MEDICAL CENTER,BOSTON,MASSACHUSETTS,74,74,Hosp,81764103,35614451,118785811,43.6
OREGON RESEARCH INSTITUTE,EUGENE,OREGON,55.6,55.6,NP res inst,12052060,5258694,17310754,43.6
UNIVERSITY OF NOTRE DAME,NOTRE DAME,INDIANA,52,52,Higher Ed,9781269,4257411,14038680,43.5
UNIVERSITY OF SOUTH ALABAMA,MOBILE,ALABAMA,48.5,48.5,Higher Ed,6284914,2731200,8981444,43.5
CHAMINADE UNIVERSITY OF HONOLULU,HONOLULU,HAWAII,45,45,Higher Ed,638059,277556,696991,43.5
UNIVERSITY OF TOLEDO HEALTH SCI CAMPUS,TOLEDO,OHIO,50,51.5,Higher Ed,8439323,3661791,11955060,43.4
TEXAS HEART INSTITUTE,HOUSTON,TEXAS,55.5,55.5,NP res inst,1034220,445463,1135940,43.1
TEMPLE UNIVERSITY,PHILADELPHIA,PENNSYLVANIA,53,53,Higher Ed,38300639,16483350,55995595,43
TUFTS UNIVERSITY BOSTON,BOSTON,MASSACHUSETTS,65,65,Higher Ed,33404495,14367317,48040076,43
BOSTON COLLEGE,CHESTNUT HILL,MASSACHUSETTS,56.5,56.5,Higher Ed,5827730,2506222,8118525,43
OAKLAND UNIVERSITY,ROCHESTER,MICHIGAN,48,48,Higher Ed,1398344,599805,1998149,42.9
CLEVELAND STATE UNIVERSITY,CLEVELAND,OHIO,42,45.5,Higher Ed,1212120,519591,1731711,42.9
REED COLLEGE,PORTLAND,OREGON,67,67,Higher Ed,421028,180822,601850,42.9
NORTHSHORE UNIVERSITY HEALTHSYSTEM*,EVANSTON,ILLINOIS,55,56,Hosp,2097998,897699,2995697,42.8
QUEENS COLLEGE,FLUSHING,NEW YORK,55,55,Higher Ed,1707456,730964,2409343,42.8
STANFORD,PALO ALTO,CALIFORNIA,N/A,57,Higher Ed,249958508,106682506,357812990,42.7
PONCE SCHOOL OF MEDICINE,PONCE,PUERTO RICO,79,79,Higher Ed,4009363,1712474,5614741,42.7
BRANDEIS UNIVERSITY,WALTHAM,MASSACHUSETTS,60,61,Higher Ed,18341720,7799039,25846230,42.5
CHILDREN'S NATIONAL MEDICAL CENTER,WASHINGTON,DIST OF COL,72,72,Hosp,17298496,7356001,24141235,42.5
MOUNT SINAI SCHOOL OF MEDICINE,NEW YORK,NEW YORK,69.5,69.5,Higher Ed,140656993,59618841,197480383,42.4
SEATTLE CHILDREN'S HOSPITAL,SEATTLE,WASHINGTON,94,95,Hosp,21625852,9171360,30652212,42.4
LOUISIANA STATE UNIV HSC NEW ORLEANS,NEW ORLEANS,LOUISIANA,44,44,Higher Ed,166705,70697,237402,42.4
UNIVERSITY OF MISSOURI KANSAS CITY,KANSAS CITY,MISSOURI,50,50,Higher Ed,6415733,2713143,9128876,42.3
ILLINOIS STATE UNIVERSITY,NORMAL,ILLINOIS,44,44,Higher Ed,744983,314593,1059576,42.2
SANFORD RESEARCH/USD,SIOUX FALLS,SOUTH DAKOTA,58,60,NP res inst,8470734,3569599,12027508,42.1
STATE UNIVERSITY OF NEW YORK AT ALBANY,ALBANY,NEW YORK,52,52,Higher Ed,5431038,2288305,7562552,42.1
SPECTRUM HEALTH HOSPITALS,GRAND RAPIDS,MICHIGAN,51,51,NP res inst,1122102,471552,1593654,42
CITY COLLEGE OF NEW YORK,NEW YORK,NEW YORK,53,53,Higher Ed,7416470,3106414,10004925,41.9
PURDUE UNIVERSITY WEST LAFAYETTE,WEST LAFAYETTE,INDIANA,54,54,Higher Ed,19323235,8060152,27326781,41.7
BALL STATE UNIVERSITY,MUNCIE,INDIANA,40,40,Higher Ed,490794,204903,695697,41.7
RHODE ISLAND HOSPITAL,PROVIDENCE,RHODE ISLAND,59,59,Hosp,21606725,8988444,30461209,41.6
UPSTATE MEDICAL UNIVERSITY,SYRACUSE,NEW YORK,59.5,59.5,Higher Ed,10787680,4484325,15814043,41.6
CALIFORNIA STATE POLY U POMONA,POMONA,CALIFORNIA,45,45,Higher Ed,287329,119478,406807,41.6
OHIO STATE UNIVERSITY,COLUMBUS,OHIO,52.5,52.5,Higher Ed,93016364,38472161,131126886,41.4
UNIVERSITY OF CONNECTICUT HEALTH SCIENCE CENTER,FARMINGTON,CONNECTICUT,54,54,Higher Ed,35742555,14779971,50163695,41.4
"OREGON SOCIAL LEARNING CENTER, INC.",EUGENE,OREGON,48,48,NP res inst,4477689,1853958,6331647,41.4
KUAKINI MEDICAL CENTER,HONOLULU,HAWAII,64,64,Hosp,457760,188448,646208,41.2
NEUROPSYCHIATRIC RESEARCH INSTITUTE,FARGO,NORTH DAKOTA,54.6,54.6,NP res inst,685525,281920,917445,41.1
"COLORADO CANCER RESEARCH PROGRAM, INC.",DENVER,COLORADO,40.3,40.3,NP res inst,805871,330407,1136278,41
UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PENNSYLVANIA,60,60,Higher Ed,320393475,131032353,451194908,40.9
CORNELL UNIVERSITY ITHACA,ITHACA,NEW YORK,59,60,Higher Ed,45143705,18478194,63298438,40.9
PRINCETON UNIVERSITY,PRINCETON,NEW JERSEY,61,61,Higher Ed,28364177,11603111,39609228,40.9
PUBLIC HEALTH INSTITUTE,OAKLAND,CALIFORNIA,16.3,16.5,NP res inst,4032635,1651350,6070096,40.9
CASE WESTERN RESERVE UNIVERSITY,CLEVELAND,OHIO,57,57,Higher Ed,118497990,48367359,173162699,40.8
INDIANA UNIVERSITY BLOOMINGTON,BLOOMINGTON,INDIANA,55,56,Higher Ed,19375542,7903340,27233276,40.8
BAYLOR RESEARCH INSTITUTE,DALLAS,TEXAS,57,57,NP res inst,8154559,3326510,11481069,40.8
LOMA LINDA UNIVERSITY,LOMA LINDA,CALIFORNIA,58,58,Higher Ed,7289340,2975910,10265250,40.8
TEXAS ENGINEERING EXPERIMENT STATION,COLLEGE STATION,TEXAS,46.5,46,Higher Ed,1491349,608818,2100167,40.8
RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,ILLINOIS,53,53,Higher Ed,30371053,12360247,45437027,40.7
MASSACHUSETTS EYE AND EAR INFIRMARY,BOSTON,MASSACHUSETTS,60,62,Hosp,14723605,5980452,20413920,40.6
AUBURN UNIVERSITY AT AUBURN,AUBURN UNIVERSITY,ALABAMA,47.5,48,Higher Ed,1572957,637470,2210427,40.5
CHILDREN'S HOSPITAL & RES CTR AT OAKLAND,OAKLAND,CALIFORNIA,66.5,66.5,Hosp,10186543,4115403,14238224,40.4
WAYNE STATE UNIVERSITY,DETROIT,MICHIGAN,52,52,Higher Ed,33573457,13543798,49444251,40.3
MAYO CLINIC,ROCHESTER,MINNESOTA,51,59,NP res inst,136789236,55021981,192248756,40.2
NEW YORK UNIVERSITY,NEW YORK,NEW YORK,54,57,Higher Ed,33450743,13435167,46070017,40.2
ROCHESTER INSTITUTE OF TECHNOLOGY,ROCHESTER,NEW YORK,44.5,44.5,Higher Ed,830290,333912,1164202,40.2
HEALTHPARTNERS RESEARCH FOUNDATION,MINNEAPOLIS,MINNESOTA,54,54,NP res inst,2404852,961841,3366693,40
TUSKEGEE UNIVERSITY,TUSKEGEE,ALABAMA,47,47,Higher Ed,2481214,992861,2572695,40
UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,OKLAHOMA CITY,OKLAHOMA,48,48,Higher Ed,30434563,12142692,42577255,39.9
EASTERN VIRGINIA MEDICAL SCHOOL,NORFOLK,VIRGINIA,46.5,46.5,Higher Ed,2368888,944378,4066268,39.9
OAK CREST INSTITUTE OF SCIENCE,PASADENA,CALIFORNIA,58.6,58.6,NP res inst,315099,125880,440979,39.9
DE PAUL UNIVERSITY,CHICAGO,ILLINOIS,46.5,46.5,Higher Ed,791840,315460,1107300,39.8
CENTRAL MICHIGAN UNIVERSITY,MOUNT PLEASANT,MICHIGAN,43,43,Higher Ed,586625,233665,817317,39.8
MONELL CHEMICAL SENSES CENTER,PHILADELPHIA,PENNSYLVANIA,46.7,46.7,NP res inst,4567612,1813157,6380769,39.7
SWARTHMORE COLLEGE,SWARTHMORE,PENNSYLVANIA,58,62,Higher Ed,250000,99200,349200,39.7
UNIVERSITY OF PUERTO RICO MED SCIENCES,SAN JUAN,PUERTO RICO,49,50,Higher Ed,19928287,7862514,27133868,39.5
UNIVERSITY OF MISSISSIPPI,UNIVERSITY,MISSISSIPPI,43,44,Higher Ed,2824021,1116789,4787692,39.5
BETH ISRAEL MEDICAL CTR (NEW YORK),NEW YORK,NEW YORK,65.8,62.3,Hosp,590234,233268,823502,39.5
UNIVERSITY OF MICHIGAN AT ANN ARBOR,ANN ARBOR,MICHIGAN,55.5,55.5,Higher Ed,296174558,116766820,412016862,39.4
UNIVERSITY OF CHICAGO,CHICAGO,ILLINOIS,57,58,Higher Ed,116125916,45809420,160450900,39.4
UNIVERSITY OF ARIZONA,TUCSON,ARIZONA,51.5,51.5,Higher Ed,54995966,21629559,74779182,39.3
FLORIDA INSTITUTE OF TECHNOLOGY,MELBOURNE,FLORIDA,45,45,Higher Ed,171963,67458,239421,39.2
DARTMOUTH COLLEGE,HANOVER,NEW HAMPSHIRE,58,61,Higher Ed,59789733,23361736,81705567,39.1
UNIVERSITY OF WYOMING,LARAMIE,WYOMING,41.5,41.5,Higher Ed,5305150,2073843,7378993,39.1
UNIVERSITY OF KENTUCKY,LEXINGTON,KENTUCKY,48.5,48.5,Higher Ed,55412592,21637105,77613416,39
EMMA PENDLETON BRADLEY HOSPITAL,EAST PROVIDENCE,RHODE ISLAND,30.6,30.6,Hosp,533595,208119,741714,39
BOSTON UNIVERSITY,BOSTON,MASSACHUSETTS,63.5,63.7,Higher Ed,104155692,40502619,152993025,38.9
RUTGERS THE ST UNIV OF NJ NEW BRUNSWICK,NEW BRUNSWICK,NEW JERSEY,54,54,Higher Ed,48912022,19044214,70307827,38.9
UNIVERSITY OF MISSOURI COLUMBIA,Columbia,MISSOURI,51.5,51.5,Higher Ed,24658560,9599354,34194279,38.9
UNIVERSITY OF CALIFORNIA RIVERSIDE,RIVERSIDE,CALIFORNIA,52,52,Higher Ed,11396853,4438447,15835300,38.9
STATE COLLEGE OF OPTOMETRY,NEW YORK,NEW YORK,79.5,79.5,Higher Ed,1558117,605417,2162395,38.9
BARNARD COLLEGE,NEW YORK,NEW YORK,67.5,67.5,Higher Ed,612478,238137,850615,38.9
UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,MIAMI,FLORIDA,53,53,Higher Ed,76772419,29778328,104622362,38.8
DUKE UNIVERSITY,DURHAM,NORTH CAROLINA,57,57,Higher Ed,239516544,92735937,350249092,38.7
VANDERBILT UNIVERSITY,NASHVILLE,TENNESSEE,56,56,Higher Ed,221880487,85785386,311110760,38.7
UNIVERSITY OF LOUISVILLE,LOUISVILLE,KENTUCKY,50,50,Higher Ed,34149235,13218704,47383635,38.7
UNIVERSITY OF SOUTH FLORIDA,TAMPA,FLORIDA,49,49.5,Higher Ed,24712982,9559951,33961330,38.7
UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LOUISIANA,43,43,Higher Ed,854112,330208,1184320,38.7
